signal_factor,n,seed,protocol,n_iter,variable,is_info,delta
0.5,32,0,Bootstrap,100,$Z_1$,False,0.030459385760085667
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.020366761880697304
0.5,32,0,Bootstrap,100,$Z_3$,False,0.012528618610568643
0.5,32,0,Bootstrap,100,$X_1$,True,0.11070266539016504
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,0.08728839468008731
0.5,32,0,Bootstrap,100,$Z_3$,False,0.005732134355444618
0.5,32,0,Bootstrap,100,$X_1$,True,0.0
0.5,32,0,Bootstrap,100,$Z_1$,False,0.13001365093935036
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.08041507104007106
0.5,32,0,Bootstrap,100,$X_1$,True,0.04720777588424663
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.01107813384206846
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.12502556761100037
0.5,32,0,Bootstrap,100,$X_1$,True,0.19362759010476083
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.028396405847840978
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.032847188929138404
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.006892586580085958
0.5,32,0,Bootstrap,100,$Z_3$,False,-0.023414606227106116
0.5,32,0,Bootstrap,100,$X_1$,True,0.18716707502751762
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.015830772441215224
0.5,32,0,Bootstrap,100,$Z_2$,False,0.09834716004777011
0.5,32,0,Bootstrap,100,$Z_3$,False,0.07724792568542593
0.5,32,0,Bootstrap,100,$X_1$,True,0.04466354097986569
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.041642386786836294
0.5,32,0,Bootstrap,100,$Z_2$,False,0.07100828998086461
0.5,32,0,Bootstrap,100,$Z_3$,False,0.11520251232306444
0.5,32,0,Bootstrap,100,$X_1$,True,-0.11195084174239911
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.04853311459669252
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.19453055764375726
0.5,32,0,Bootstrap,100,$Z_1$,False,0.11889679087947602
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.048826867576867716
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.10365627431512592
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.029120415946104927
0.5,32,0,Bootstrap,100,$Z_2$,False,0.0
0.5,32,0,Bootstrap,100,$Z_3$,False,0.02242882476079533
0.5,32,0,Bootstrap,100,$X_1$,True,0.14494476877289397
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.04164097377990883
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.08812462114876052
0.5,32,0,Bootstrap,100,$Z_3$,False,0.0
0.5,32,0,Bootstrap,100,$X_1$,True,0.2612542922333947
0.5,32,0,Bootstrap,100,$Z_1$,False,0.0016706270310695714
0.5,32,0,Bootstrap,100,$Z_2$,False,0.13419329992598517
0.5,32,0,Bootstrap,100,$Z_3$,False,0.06069231524194807
0.5,32,0,Bootstrap,100,$X_1$,True,0.0
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.04457763321932573
0.5,32,0,Bootstrap,100,$Z_2$,False,-0.14499534182922336
0.5,32,0,Bootstrap,100,$Z_3$,False,0.01014071596990851
0.5,32,0,Bootstrap,100,$X_1$,True,0.02313622619476252
0.5,32,0,Bootstrap,100,$Z_1$,False,-0.06880673197309273
0.5,32,0,Bootstrap,100,$Z_2$,False,0.08640624113853912
0.5,32,0,Bootstrap,100,$Z_3$,False,0.020335315376917684
0.5,32,0,K-Fold CV,100,$X_1$,True,0.0
0.5,32,0,K-Fold CV,100,$Z_1$,False,-5.551115123125783e-17
0.5,32,0,K-Fold CV,100,$Z_2$,False,5.551115123125783e-17
0.5,32,0,K-Fold CV,100,$Z_3$,False,5.551115123125783e-17
0.5,32,0,K-Fold CV,100,$X_1$,True,-0.20833333333333315
