combo,combo_size,logloss_original,logloss_null,delta,realization,has_informative,combo_type
"('$Z_{3}$', '$Z_{5}$', '$Z_{6}$')",3,0.699783494320071,0.6993952481529645,-0.0003882461671065318,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{4}$', '$Z_{5}$', '$Z_{6}$')",3,0.7037888472334112,0.704011384827153,0.0002225375937418006,24,False,"$S \cap \{1,2\} = \emptyset$"
"('$X_1$', '$X_2$')",2,0.05296849346411759,0.713938193030098,0.6609696995659804,25,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$Z_{1}$')",2,0.6996135738530689,0.7087453085927395,0.00913173473967066,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$')",2,0.7008355214774983,0.7026841862761619,0.001848664798663635,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{3}$')",2,0.7022154036717437,0.7066041128139345,0.004388709142190805,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{4}$')",2,0.7077043948770835,0.7151338379142206,0.007429443037137107,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{5}$')",2,0.7055203519815905,0.7121278559592119,0.006607503977621443,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{6}$')",2,0.7071421900430385,0.7024213000532196,-0.004720889989818899,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$')",2,0.7018574727520532,0.7061226299539008,0.004265157201847614,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{2}$')",2,0.7030242095931647,0.713318091673797,0.01029388208063231,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{3}$')",2,0.7099066119597033,0.7008037029487005,-0.009102909011002747,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{4}$')",2,0.705876190132848,0.706684576416,0.0008083862831520516,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{5}$')",2,0.7023319265285688,0.7094560933351199,0.0071241668065511465,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{6}$')",2,0.7031084345595795,0.7100611211240496,0.006952686564470123,25,True,"$|S \cap \{1,2\}| = 1$"
"('$Z_{1}$', '$Z_{2}$')",2,0.7019896314768816,0.7097511604197186,0.007761528942836993,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{3}$')",2,0.7033611212278472,0.707366758056545,0.004005636828697812,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{4}$')",2,0.705303972943628,0.704450350228515,-0.0008536227151130227,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{5}$')",2,0.7026610471898975,0.700595060015033,-0.002065987174864503,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{1}$', '$Z_{6}$')",2,0.7039281077560964,0.6949548439168486,-0.008973263839247791,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{3}$')",2,0.6974974324878983,0.7034601092992137,0.005962676811315348,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{4}$')",2,0.7062343780734921,0.7040163051926409,-0.002218072880851185,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{5}$')",2,0.7025512024072809,0.7101333485734916,0.007582146166210779,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{2}$', '$Z_{6}$')",2,0.7066213256570686,0.7048784452213954,-0.0017428804356731664,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{3}$', '$Z_{4}$')",2,0.7035926704837818,0.7098737914315237,0.006281120947741914,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{3}$', '$Z_{5}$')",2,0.7056123950979459,0.705716364676397,0.00010396957845104637,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{3}$', '$Z_{6}$')",2,0.704422364737566,0.708079931390994,0.0036575666534279794,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{4}$', '$Z_{5}$')",2,0.7012085798818389,0.7095237030838606,0.008315123202021657,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{4}$', '$Z_{6}$')",2,0.7054956190912371,0.706190014608821,0.000694395517583879,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$Z_{5}$', '$Z_{6}$')",2,0.7029681807599318,0.7012984468644031,-0.0016697338955287133,25,False,"$S \cap \{1,2\} = \emptyset$"
"('$X_1$', '$X_2$', '$Z_{1}$')",3,0.17918833447340426,0.7057953524414199,0.5266070179680156,25,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{2}$')",3,0.18483965106024147,0.7056691577386756,0.5208295066784341,25,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{3}$')",3,0.17255841506659447,0.7058826967701849,0.5333242817035904,25,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{4}$')",3,0.1802209331718631,0.7068545540814835,0.5266336209096203,25,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{5}$')",3,0.17556299558859895,0.7015841429683102,0.5260211473797112,25,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$X_2$', '$Z_{6}$')",3,0.16590525226890396,0.6960424511025673,0.5301371988336634,25,True,"$S \supseteq \{1,2\}$"
"('$X_1$', '$Z_{1}$', '$Z_{2}$')",3,0.6957644851114442,0.7027933791749083,0.007028894063464075,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{1}$', '$Z_{3}$')",3,0.6978447226393057,0.709536357483358,0.011691634844052223,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{1}$', '$Z_{4}$')",3,0.7006751588928001,0.6997038646420551,-0.0009712942507449362,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{1}$', '$Z_{5}$')",3,0.6997566384790802,0.707610684743989,0.00785404626490882,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{1}$', '$Z_{6}$')",3,0.6997349492989827,0.696123580262792,-0.003611369036190748,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$', '$Z_{3}$')",3,0.6932397236101114,0.7057262517909418,0.012486528180830403,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$', '$Z_{4}$')",3,0.7028477475728039,0.7042747164929951,0.0014269689201912295,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$', '$Z_{5}$')",3,0.7000839120473414,0.7058770611316018,0.005793149084260318,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{2}$', '$Z_{6}$')",3,0.7007574810386155,0.7052949530114869,0.004537471972871465,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{3}$', '$Z_{4}$')",3,0.6981725501694585,0.7010764092539133,0.002903859084454896,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{3}$', '$Z_{5}$')",3,0.7018247576735915,0.7028284449914485,0.0010036873178569383,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{3}$', '$Z_{6}$')",3,0.699424783294114,0.7038296127067444,0.004404829412630429,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{4}$', '$Z_{5}$')",3,0.7020290085513693,0.7027782390022416,0.0007492304508722736,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{4}$', '$Z_{6}$')",3,0.7024664549815084,0.6982041385338079,-0.004262316447700476,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_1$', '$Z_{5}$', '$Z_{6}$')",3,0.7002951011583229,0.6971664819025475,-0.0031286192557754555,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$', '$Z_{2}$')",3,0.6988133383545096,0.6996583217860655,0.0008449834315558125,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$', '$Z_{3}$')",3,0.7051758081116277,0.7039163735580448,-0.0012594345535829055,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$', '$Z_{4}$')",3,0.703068481438441,0.7059322380720621,0.0028637566336210396,25,True,"$|S \cap \{1,2\}| = 1$"
"('$X_2$', '$Z_{1}$', '$Z_{5}$')",3,0.699986187952358,0.7057004971362776,0.005714309183919575,25,True,"$|S \cap \{1,2\}| = 1$"
